[17:32:47:139980 --7:00] [Thread 872] PLAYER: ( 76561197971543211 ) R Alpha 1-5:1 (Joe) REMOTE PURCHASED ITEM V_PlateCarrier1_blk FOR 80 POPTABS | PLAYER TOTAL MONEY: 4931
[17:32:56:282477 --7:00] [Thread 1464] PLAYER: ( 76561197971543211 ) R Alpha 1-5:1 (Joe) REMOTE PURCHASED ITEM B_AssaultPack_mcamo FOR 90 POPTABS | PLAYER TOTAL MONEY: 4841
[17:33:39:109259 --7:00] [Thread 872] PLAYER: ( 76561197971543211 ) R Alpha 1-5:1 (Joe) REMOTE PURCHASED ITEM H_Cap_blk_Syndikat_F FOR 6 POPTABS | PLAYER TOTAL MONEY: 4835
[17:35:02:379095 --7:00] [Thread 1464] PLAYER: ( 76561197971543211 ) R Alpha 1-5:1 (Joe) REMOTE PURCHASED ITEM hgun_ACPC2_F FOR 50 POPTABS | PLAYER TOTAL MONEY: 4785
[17:35:11:229257 --7:00] [Thread 872] PLAYER: ( 76561197971543211 ) R Alpha 1-5:1 (Joe) REMOTE PURCHASED ITEM 9Rnd_45ACP_Mag FOR 6 POPTABS | PLAYER TOTAL MONEY: 4779
[17:35:12:592235 --7:00] [Thread 1464] PLAYER: ( 76561197971543211 ) R Alpha 1-5:1 (Joe) REMOTE PURCHASED ITEM 9Rnd_45ACP_Mag FOR 6 POPTABS | PLAYER TOTAL MONEY: 4773
[17:35:13:873027 --7:00] [Thread 872] PLAYER: ( 76561197971543211 ) R Alpha 1-5:1 (Joe) REMOTE PURCHASED ITEM 9Rnd_45ACP_Mag FOR 6 POPTABS | PLAYER TOTAL MONEY: 4767
[17:35:26:681882 --7:00] [Thread 1464] PLAYER: ( 76561197971543211 ) R Alpha 1-5:1 (Joe) REMOTE PURCHASED ITEM arifle_SPAR_01_blk_F FOR 400 POPTABS | PLAYER TOTAL MONEY: 4367
[17:35:35:283737 --7:00] [Thread 872] PLAYER: ( 76561197971543211 ) R Alpha 1-5:1 (Joe) REMOTE PURCHASED ITEM optic_ERCO_blk_F FOR 125 POPTABS | PLAYER TOTAL MONEY: 4242
[17:35:44:686986 --7:00] [Thread 1464] PLAYER: ( 76561197971543211 ) R Alpha 1-5:1 (Joe) REMOTE PURCHASED ITEM muzzle_snds_acp FOR 10 POPTABS | PLAYER TOTAL MONEY: 4232
